,DISTRICT,STATUS,Year,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,WEP,REF
173,12,Inactive,2017,38512,11513,193,122,3334,215,82,17959,1.0,0.0
174,12,Inactive,2018,44238,12638,200,136,3629,244,87,20458,10.0,2.0
175,12,Total,2014,281063,66883,1158,827,18641,1280,311,100989,0.0,0.0
176,12,Total,2015,273454,64549,1146,871,18227,1295,293,100132,0.0,0.0
177,12,Total,2016,271247,62557,1097,825,17206,1188,285,97469,40.0,10.0
178,12,Total,2017,306605,69021,1109,735,17682,1271,340,111962,96.0,25.0
179,12,Total,2018,304115,67069,1083,758,17332,1253,297,112381,138.0,34.0
180,13,Active,2014,314229,17677,821,1365,8375,603,87,50952,0.0,0.0
181,13,Active,2015,302388,16514,777,1293,8024,637,86,48961,0.0,0.0
182,13,Active,2016,305561,16307,768,1337,8011,681,92,49978,84.0,8.0
183,13,Active,2017,335174,17470,733,1242,7986,764,108,53670,173.0,19.0
184,13,Active,2018,327895,16808,738,1235,7730,840,82,54421,238.0,37.0
185,13,Inactive,2014,37961,3048,125,203,1398,81,19,8282,0.0,0.0
186,13,Inactive,2015,49995,3724,162,287,1789,116,23,10858,0.0,0.0
187,13,Inactive,2016,42713,3077,125,233,1485,104,17,9032,1.0,0.0
188,13,Inactive,2017,45584,3485,151,294,1679,135,19,10042,8.0,1.0
189,13,Inactive,2018,50766,3815,154,304,1816,167,27,11201,18.0,1.0
190,13,Total,2014,352190,20725,946,1568,9773,684,106,59234,0.0,0.0
191,13,Total,2015,352383,20238,939,1580,9813,753,109,59819,0.0,0.0
192,13,Total,2016,348274,19384,893,1570,9496,785,109,59010,85.0,8.0
193,13,Total,2017,380758,20955,884,1536,9665,899,127,63712,181.0,20.0
194,13,Total,2018,378661,20623,892,1539,9546,1007,109,65622,256.0,38.0
195,14,Active,2014,199060,33288,1900,1013,7699,444,71,55156,0.0,0.0
196,14,Active,2015,191176,31196,1809,1016,7381,477,76,53939,0.0,0.0
197,14,Active,2016,194453,30839,1772,1055,7346,497,81,56253,49.0,3.0
198,14,Active,2017,217125,34049,1710,972,7607,597,92,60812,127.0,8.0
199,14,Active,2018,214570,33020,1694,993,7544,650,73,61960,200.0,28.0
200,14,Inactive,2014,17156,2898,174,113,803,41,12,5285,0.0,0.0
201,14,Inactive,2015,23049,3756,234,149,1081,54,15,7036,0.0,0.0
202,14,Inactive,2016,19591,3073,234,130,902,40,14,5820,0.0,0.0
203,14,Inactive,2017,20241,3375,269,147,956,59,14,6352,2.0,0.0
204,14,Inactive,2018,21175,3395,241,145,946,70,17,6736,9.0,0.0
205,14,Total,2014,216216,36186,2074,1126,8502,485,83,60441,0.0,0.0
206,14,Total,2015,214225,34952,2043,1165,8462,531,91,60975,0.0,0.0
207,14,Total,2016,214044,33912,2006,1185,8248,537,95,62073,49.0,3.0
208,14,Total,2017,237366,37424,1979,1119,8563,656,106,67164,129.0,8.0
209,14,Total,2018,235745,36415,1935,1138,8490,720,90,68696,209.0,28.0
210,15,Active,2014,265862,13468,1098,1551,5579,156,36,41545,0.0,0.0
211,15,Active,2015,258919,13085,1085,1508,5383,189,32,41017,0.0,0.0
212,15,Active,2016,261924,13270,1076,1523,5338,226,27,42214,101.0,7.0
213,15,Active,2017,287322,13897,1027,1501,5495,330,28,44478,194.0,16.0
214,15,Active,2018,282788,13663,1069,1509,5539,426,23,46081,284.0,37.0
215,15,Inactive,2014,29801,1993,134,248,739,24,7,5840,0.0,0.0
216,15,Inactive,2015,43536,2737,190,362,1074,37,10,8485,0.0,0.0
217,15,Inactive,2016,40994,2497,172,341,1012,43,8,7876,8.0,0.0
218,15,Inactive,2017,41652,2818,206,357,1083,51,10,8535,15.0,1.0
219,15,Inactive,2018,44336,2904,203,393,1077,53,12,8909,28.0,1.0
220,15,Total,2014,295663,15461,1232,1799,6318,180,43,47385,0.0,0.0
221,15,Total,2015,302455,15822,1275,1870,6457,226,42,49502,0.0,0.0
222,15,Total,2016,302918,15767,1248,1864,6350,269,35,50090,109.0,7.0
223,15,Total,2017,328974,16715,1233,1858,6578,381,38,53013,209.0,17.0
224,15,Total,2018,327124,16567,1272,1902,6616,479,35,54990,312.0,38.0
225,16,Active,2014,239335,63684,4544,1208,13174,360,71,68107,0.0,0.0
226,16,Active,2015,234432,62362,4434,1179,11572,389,66,69615,0.0,0.0
227,16,Active,2016,238218,62567,4393,1185,11774,424,69,71734,39.0,4.0
